Tratamento;Contg_reg
Jamelao;30
Jamelao;7
Jamelao;7
Jamelao;5
Jamelao;4
Jamelao;2
Jamelao;2
Jamelao;9
Jamelao;8
Jamelao;4
Jamelao;2
Jamelao;4
Jamelao;3
Jamelao;0
Jamelao;6
Nativa;960
Nativa;253
Nativa;210
Nativa;180
Nativa;150
Nativa;245
Nativa;45
Nativa;115
Nativa;195
Nativa;35
Hibisco da Praia;14
Hibisco da Praia;2
Hibisco da Praia;3
Hibisco da Praia;4
Hibisco da Praia;3
Hibisco da Praia;8
Hibisco da Praia;2
Hibisco da Praia;6
Hibisco da Praia;3
Hibisco da Praia;7
Hibisco da Praia;7
Hibisco da Praia;0
Hibisco da Praia;6
Hibisco da Praia;5
Hibisco da Praia;3
